User_ID,Age,Age_Group,Gender,Location,Daily_Screen_Time_Hours,Screen_Time_Band,Total_App_Usage_Hours,Number_of_Apps_Used,Social_Media_Usage_Hours,Productivity_App_Usage_Hours,Gaming_App_Usage_Hours,Category_Total_Hours,Top_Category,Social_Share_Pct,Productivity_Share_Pct,Gaming_Share_Pct,Flag_App_Hours_Exceed_Screen,Flag_Category_Hours_Exceed_App,Data_Quality
1,56,55+,Male,Los Angeles,7.15,High (7-10h),2.61,24,4.43,0.55,2.4,7.38,Social,60.0,7.5,32.5,0,1,Check
2,46,45-54,Male,Chicago,13.79,Very high (10h+),2.13,18,4.67,4.42,2.43,11.52,Social,40.5,38.4,21.1,0,1,Check
3,32,25-34,Female,Houston,4.5,Moderate (4-7h),7.28,11,4.58,1.71,2.83,9.12,Social,50.2,18.8,31.0,1,1,Check
4,25,25-34,Female,Phoenix,6.29,Moderate (4-7h),1.2,21,3.18,3.42,4.58,11.18,Gaming,28.4,30.6,41.0,0,1,Check
5,38,35-44,Male,New York,12.59,Very high (10h+),6.31,14,3.15,0.13,4.0,7.28,Gaming,43.3,1.8,54.9,0,1,Check
6,56,55+,Female,Chicago,1.04,Light (<4h),3.31,21,2.02,3.45,2.26,7.73,Productivity,26.1,44.6,29.2,1,1,Check
7,36,35-44,Male,Los Angeles,1.52,Light (<4h),4.81,24,3.76,1.58,3.59,8.93,Social,42.1,17.7,40.2,1,1,Check
8,40,35-44,Male,Chicago,8.85,High (7-10h),9.53,11,2.66,0.28,2.93,5.87,Gaming,45.3,4.8,49.9,1,0,Check
9,28,25-34,Male,Phoenix,12.8,Very high (10h+),11.35,9,3.39,3.05,2.46,8.9,Social,38.1,34.3,27.6,0,0,Consistent
10,28,25-34,Male,New York,4.11,Moderate (4-7h),1.8,16,2.14,1.2,0.96,4.3,Social,49.8,27.9,22.3,0,1,Check
11,41,35-44,Female,Chicago,7.11,High (7-10h),6.88,21,3.66,1.93,2.32,7.91,Social,46.3,24.4,29.3,0,1,Check
12,53,45-54,Female,Phoenix,6.86,Moderate (4-7h),10.71,21,4.12,0.4,1.23,5.75,Social,71.7,7.0,21.4,1,0,Check
13,57,55+,Female,Los Angeles,7.15,High (7-10h),1.91,4,0.73,0.74,4.57,6.04,Gaming,12.1,12.3,75.7,0,1,Check
14,41,35-44,Male,Houston,9.09,High (7-10h),10.07,11,4.16,1.49,1.68,7.33,Social,56.8,20.3,22.9,1,0,Check
15,20,18-24,Male,Los Angeles,7.11,High (7-10h),4.94,15,2.7,0.45,4.76,7.91,Gaming,34.1,5.7,60.2,0,1,Check
16,39,35-44,Male,New York,6.82,Moderate (4-7h),4.54,17,4.22,4.55,2.67,11.44,Productivity,36.9,39.8,23.3,0,1,Check
17,19,18-24,Female,Los Angeles,7.17,High (7-10h),11.75,5,2.16,0.03,3.16,5.35,Gaming,40.4,0.6,59.1,1,0,Check
18,41,35-44,Male,Los Angeles,8.68,High (7-10h),3.21,13,1.9,2.42,2.71,7.03,Gaming,27.0,34.4,38.5,0,1,Check
19,47,45-54,Female,Los Angeles,7.98,High (7-10h),8.63,23,4.58,0.62,0.65,5.85,Social,78.3,10.6,11.1,1,0,Check
20,55,55+,Female,Los Angeles,12.1,Very high (10h+),10.04,16,1.26,1.54,1.88,4.68,Gaming,26.9,32.9,40.2,0,0,Consistent
21,19,18-24,Female,New York,1.64,Light (<4h),1.45,27,4.22,4.63,0.5,9.35,Productivity,45.1,49.5,5.3,0,1,Check
22,38,35-44,Female,Phoenix,11.83,Very high (10h+),8.37,10,2.42,0.81,3.11,6.34,Gaming,38.2,12.8,49.1,0,0,Consistent
23,50,45-54,Female,Chicago,11.97,Very high (10h+),11.47,20,2.57,4.83,2.23,9.63,Productivity,26.7,50.2,23.2,0,0,Consistent
24,29,25-34,Female,Houston,4.7,Moderate (4-7h),2.37,21,1.54,1.03,3.89,6.46,Gaming,23.8,15.9,60.2,0,1,Check
25,39,35-44,Male,Chicago,7.02,High (7-10h),10.86,18,2.87,3.71,1.1,7.68,Productivity,37.4,48.3,14.3,1,0,Check
26,42,35-44,Male,Chicago,6.7,Moderate (4-7h),7.54,4,1.63,2.73,0.82,5.18,Productivity,31.5,52.7,15.8,1,0,Check
27,44,35-44,Female,Houston,3.84,Light (<4h),7.78,10,0.2,4.42,2.03,6.65,Productivity,3.0,66.5,30.5,1,0,Check
28,59,55+,Female,New York,6.16,Moderate (4-7h),7.74,24,1.36,2.77,4.63,8.76,Gaming,15.5,31.6,52.9,1,1,Check
29,45,45-54,Male,Houston,1.58,Light (<4h),4.29,8,0.03,2.67,3.55,6.25,Gaming,0.5,42.7,56.8,1,1,Check
30,33,25-34,Female,New York,4.61,Moderate (4-7h),11.29,14,4.89,0.98,2.09,7.96,Social,61.4,12.3,26.3,1,0,Check
31,32,25-34,Female,Chicago,11.62,Very high (10h+),11.42,17,4.83,0.83,2.59,8.25,Social,58.5,10.1,31.4,0,0,Consistent
32,20,18-24,Male,New York,4.7,Moderate (4-7h),7.88,27,1.98,4.58,0.42,6.98,Productivity,28.4,65.6,6.0,1,0,Check
33,54,45-54,Female,Phoenix,11.64,Very high (10h+),9.62,10,3.64,1.64,4.92,10.2,Gaming,35.7,16.1,48.2,0,1,Check
34,24,18-24,Female,Houston,7.91,High (7-10h),7.73,6,1.73,1.86,3.33,6.92,Gaming,25.0,26.9,48.1,0,0,Consistent
35,38,35-44,Female,Phoenix,12.44,Very high (10h+),6.33,17,3.36,3.8,1.43,8.59,Productivity,39.1,44.2,16.6,0,1,Check
36,26,25-34,Male,Chicago,8.47,High (7-10h),8.27,22,4.03,1.69,2.93,8.65,Social,46.6,19.5,33.9,0,1,Check
